chestx;chesty;chestz;chestw
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
0,004456113;-0,004854384;0,001289199;0,9999775
