rightarmx;rightarmy;rightarmz;rightarmw;rightforearmx;rightforearmy;rightforearmz;rightforearmw;righthandx;righthandy;righthandz;righthandw
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
-0,01673583;-0,04637983;-0,5452945;0,8367932;5,563788E-08;-0,06569494;-2,725256E-09;0,9978397;0,09437539;0,00614171;-0,06998738;0,9930546
